Sin,depth,Project,FundingSource,projectCode,invest,CollectMethod,matrix,SubMatrix,species,DateCollected,Year,location,sampler,agency,LAT,LONG,SampleType,QCERROR,comment
1066,-2,COAHAB1,EVOSTC,CH1,M2 SITE 1,HAND,TISSUE,WHOLE,MUSS,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1067,-2,COAHAB1,EVOSTC,CH1,M3 SITE 1,HAND,TISSUE,WHOLE,MUSS,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1068,0,COAHAB1,EVOSTC,CH1,S1 SITE 1,COCU,SEDIMENT,,,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1069,0,COAHAB1,EVOSTC,CH1,S2 SITE 1,COCU,SEDIMENT,,,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1070,0,COAHAB1,EVOSTC,CH1,S3 SITE 1,COCU,SEDIMENT,,,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1071,-2,COAHAB1,EVOSTC,CH1,M1,HAND,TISSUE,WHOLE,MUSS,01-Apr-89,1989,CRABB,KARINEN,NMFS ABL,60.072,-147.997,ENV,GOOD,
1072,-2,COAHAB1,EVOSTC,CH1,M2,HAND,TISSUE,WHOLE,MUSS,01-Apr-89,1989,CRABB,KARINEN,NMFS ABL,60.072,-147.997,ENV,GOOD,
1073,-2,COAHAB1,EVOSTC,CH1,M3,HAND,TISSUE,WHOLE,MUSS,01-Apr-89,1989,CRABB,KARINEN,NMFS ABL,60.072,-147.997,ENV,GOOD,
1074,0,COAHAB1,EVOSTC,CH1,S1 SITE 2,COCU,SEDIMENT,,,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
1075,0,COAHAB1,EVOSTC,CH1,S2 SITE 2,COCU,SEDIMENT,,,31-Mar-89,1989,BARNC,KARINEN,NMFS ABL,60.309,-147.762,ENV,GOOD,
